"PersonID","PostID","Timestamp","PostContent"
"@1","p3548","45601","We are building the biggest and broadest coalition in American Political History. This includes record-breaking numbers of Arab and Muslim Voters in Michigan who want PEACE. They know Kamala and her warmonger Cabinet will invade the Middle East, get millions of Muslims killed, and start World War III. VOTE TRUMP, AND BRING BACK PEACE https://swampthevoteusa.com/"
"@1","p3546","45601","Join me live in Reading, Pennsylvania at 3:30pmEDT. Will be on @RSBN, @OAN, @realAmericasVoice, @NewsMax, and Donald J. Trump @Rumble, among others. Will see you soonMAGA2024 LIVE LINK HERE: https://rumble.com/v5lwh8h-live-president-trump-in-reading-pa.html"
"@1","p3545","45601","Thank youPittsburgh, Pennsylvania. Will see you tonight, after my rally in Reading"
"@1","p3544","45601","THANK YOU, NORTH CAROLINA For the past 9 years, we have been fighting against the most sinister and corrupt forces on earth. With your vote in this election, you can show them once and for all that this nation does NOT belong to THEM...It was hardworking Patriots like you who built this Countryand TOMORROW, it is hardworking Patriots like you who are going to SAVE our Country."
"@1","p3543","45600","Join me live in Raleigh, North Carolina at 10:45amEDT Will be on @RSBN, @OAN, @NewsMax, @realAmericasVoice, and Donald J. Trump @Rumble, among others. See you soonMAGA2024 https://rumble.com/v5lrfjz-live-president-trump-in-raleigh-nc.html"
"@1","p3542","45600","https://swampthevoteusa.com/"
"@1","p3541","45600","MAKE AMERICA GREAT AGAIN"
"@1","p3540","45600","AMERICA IS BEING INVADED"
"@1","p3539","45600","A great day in Pennsylvania, North Carolina, and GeorgiaTHANK YOU Everyone be sure to get out and VOTE GO TO SWAMP THE VOTE USA: https://swampthevoteusa.com/"
"@1","p3538","45600","MAKE AMERICA GREAT AGAIN THANK YOUMACON, GEORGIA https://swampthevoteusa.com/"
"@1","p3537","45600","Mimi Ramirez-Rodriguez was kidnapped and murdered by an illegal alienleaving behind a 9 year-old girl. I met her grieving mom Carmen tonight in Georgia. With your vote Tuesday, we will end Kamalas invasion and we will not allow illegals to spill one more drop of American blood."
"@1","p3536","45600","THANK YOUMACON, GEORGIA https://swampthevoteusa.com/"
"@1","p3535","45600","Unity2024 MAGA https://swampthevoteusa.com/"
"@1","p3534","45600","https://www.DonaldJTrump.com"
